_id,crop,scientific_name,suitable_seasons[0],soil_types[0],soil_types[1],growth_stages[0].stage,growth_stages[1].stage,growth_stages[2].stage,growth_stages[3].stage,growth_stages[0].duration,growth_stages[1].duration,growth_stages[2].duration,growth_stages[3].duration,suitable_regions[0],suitable_regions[1],common_diseases[0],disease_occurrence_stages[0],disease_occurrence_stages[1]
66fd01aa68a6d76dd741569c,Apple,Malus Pumila,Winter,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,0-2 weeks,2-4 months,1 month,5-6 months,Himachal Pradesh,Uttarakhand,Apple Scab,Vegetative,Flowering
66fd01aa68a6d76dd741569d,Banana,Musa,All Year,Loamy,Clayey,Germination,Vegetative,Flowering,Harvesting,1-3 months,6-9 months,1-2 months,9-12 months,Maharashtra,Kerala,Panama Disease,Vegetative,Flowering
66fd01aa68a6d76dd741569e,Blackgram,Vigna Mungo,Kharif,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,5-7 days,3-4 weeks,6-7 weeks,10-12 weeks,Andhra Pradesh,Telangana,Root Rot,Germination,Vegetative
66fd01aa68a6d76dd741569f,Chickpea,Cicer Arietinum,Rabi,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,7-10 days,5-7 weeks,10-12 weeks,16-20 weeks,Rajasthan,Madhya Pradesh,Fusarium Wilt,Vegetative,Flowering
66fd01aa68a6d76dd74156a0,Coconut,Cocos Nucifera,All Year,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,3-6 months,3-4 years,6-7 years,7-10 years,Kerala,Tamil Nadu,Coconut Mite,Vegetative,Flowering
66fd01aa68a6d76dd74156a1,Coffee,Coffea,All Year,Loamy,Clayey,Germination,Vegetative,Flowering,Harvesting,3-4 months,3-4 years,6-8 months,8-10 months,Karnataka,Kerala,Coffee Leaf Rust,Vegetative,Flowering
66fd01aa68a6d76dd74156a2,Cotton,Gossypium,Kharif,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,5-10 days,6-8 weeks,8-10 weeks,5-6 months,Maharashtra,Gujarat,Cotton Bollworm,Vegetative,Flowering
66fd01aa68a6d76dd74156a3,Grapes,Vitis,Kharif,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,1-3 weeks,3-6 months,2-4 months,5-7 months,Maharashtra,Karnataka,Powdery Mildew,Vegetative,Flowering
66fd01aa68a6d76dd74156a4,Jute,Corchorus Capsularis,Kharif,Clayey,Loamy,Germination,Vegetative,Flowering,Harvesting,7-10 days,8-10 weeks,10-12 weeks,12-14 weeks,West Bengal,Assam,Jute Streak Disease,Vegetative,Flowering
66fd01aa68a6d76dd74156a5,Kidneybeans,Phaseolus Vulgaris,Kharif,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,5-7 days,3-4 weeks,6-8 weeks,10-12 weeks,Punjab,Haryana,Bacterial Blight,Vegetative,Flowering
66fd01aa68a6d76dd74156a6,Lentil,Lens Culinaris,Rabi,Loamy,Clayey,Germination,Vegetative,Flowering,Harvesting,7-10 days,5-6 weeks,10-12 weeks,16-18 weeks,Madhya Pradesh,Rajasthan,Ascochyta Blight,Vegetative,Flowering
66fd01aa68a6d76dd74156a7,Maize,Zea Mays,Kharif,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,5-10 days,6-8 weeks,8-10 weeks,4-6 months,Karnataka,Andhra Pradesh,Maize Rust,Vegetative,Flowering
66fd01aa68a6d76dd74156a8,Mungbean,Vigna Radiata,Kharif,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,4-7 days,3-4 weeks,6-7 weeks,10-12 weeks,Gujarat,Maharashtra,Powdery Mildew,Vegetative,Flowering
66fd01aa68a6d76dd74156a9,Mango,Mangifera Indica,Summer,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,1-3 weeks,2-3 years,3-4 years,4-5 years,Uttar Pradesh,Maharashtra,Mango Malformation,Flowering,Fruiting
66fd01aa68a6d76dd74156aa,Mothbeans,Vigna Aconitifolia,Kharif,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,5-7 days,3-4 weeks,6-7 weeks,10-12 weeks,Rajasthan,Gujarat,,,
66fd01aa68a6d76dd74156ab,Muskmelon,Cucumis Melo,Summer,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,5-10 days,3-4 weeks,4-5 weeks,2-3 months,Punjab,Haryana,Powdery Mildew,Vegetative,Flowering
66fd01aa68a6d76dd74156ac,Orange,Citrus X Sinensis,All Year,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,1-3 weeks,6-12 months,2-3 years,3-4 years,Maharashtra,Andhra Pradesh,Citrus Canker,Flowering,Fruiting
66fd01aa68a6d76dd74156ad,Papaya,Carica Papaya,All Year,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,1-2 months,3-4 months,6-8 months,9-12 months,Kerala,Maharashtra,Papaya Ringspot Virus,Vegetative,Flowering
66fd01aa68a6d76dd74156ae,Rice,Oryza Sativa,Kharif,Clayey,Loamy,Germination,Vegetative,Flowering,Harvesting,1-2 weeks,4-6 weeks,8-10 weeks,3-4 months,West Bengal,Punjab,Rice Blast,Vegetative,Flowering
66fd01aa68a6d76dd74156af,Pigeonpeas,Cajanus Cajan,Kharif,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,7-10 days,5-6 weeks,8-10 weeks,10-12 weeks,Andhra Pradesh,Maharashtra,,,
66fd01aa68a6d76dd74156b0,Pomegranate,Punica Granatum,Winter,Loamy,Sandy,Germination,Vegetative,Flowering,Harvesting,3-4 weeks,4-5 months,6-8 months,5-7 months,Maharashtra,Gujarat,,,
66fd01aa68a6d76dd74156b1,Watermelon,Citrullus Lanatus,Summer,Sandy,Loamy,Germination,Vegetative,Flowering,Harvesting,5-10 days,3-4 weeks,4-5 weeks,2-3 months,Punjab,Haryana,,,
